Nr;Name;GI;PERIOD;VALUE;TY;ASDU;IOA;IV;NT;SB;BL;OV;CA;CY;SQNR;SE;QU;PC;DT;TY103;ASDU103;FUN;INF;SUB;SIN;RET;FAN;RII;IV103;OV103;ASC;FREE;PC103;DT103;STATION;FUNCTION;ADDRESS;QUANTITY
0;Понижение давления газа на выходе №2 УРГ;True;True;1;30;1;153;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Повышение давления газа на выходе №2 УРГ;True;True;1;30;1;154;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Проникновение на площадку УРГ;True;True;1;30;1;155;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Проникновение на КУ;True;True;1;30;1;156;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Проникновение в блок-контейнер УРГ (обобщенный);True;True;1;30;1;157;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Неисправность источника питания ТСО;True;True;1;30;1;158;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Пожар (обобщенный по площадке);True;True;1;30;1;159;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Неисправность СПА;True;True;1;30;1;160;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Резерв;True;True;1;30;1;161;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
0;Резерв;True;True;1;30;1;162;True;True;True;True;True;True;True;0;True;0;True;14.10.2021 12:18:33;1;0;0;0;0;0;0;0;0;True;True;VINCI;0;True;14.10.2021 12:18:33;1;1;0;1
